title,CODE,20_topics,25_topics,30_topics,35_topics,40_topics,45_topics,50_topics
Obesity Does Not Decrease Subcutaneous Tissue Oxygenation,CLINICAL CIRCULATION,12.0,4.0,18.0,19.0,24.0,6.0,32.0
Evaluation of the Transfusion Practice in the Surgical Population of an Academic Medical Center,CLINICAL CIRCULATION,17.0,4.0,7.0,9.0,25.0,26.0,31.0
Prospective Randomized Trial To Compare Postoperative Oral Amiodarone Versus Oral Bisoprolol as Prop,CLINICAL CIRCULATION,17.0,23.0,10.0,27.0,2.0,25.0,12.0
Effect of Thoracic Epidural Analgesia on Gastric Blood Flow after Esophagectomy: A Prospective Compa,CLINICAL CIRCULATION,3.0,20.0,19.0,23.0,24.0,6.0,31.0
Molar Substitution and C2/C6 Ratio of HES: Influence on Human Blood Coagulation,CLINICAL CIRCULATION,15.0,4.0,18.0,19.0,13.0,6.0,31.0
Increased Exhaled Carbon Monoxide Concentration during Living Donor Liver Transplantation,CLINICAL CIRCULATION,17.0,4.0,10.0,8.0,2.0,25.0,12.0
A Comparison of Different Dosage Regimens of Remifentanil-Lidocaine-Propofol for Tracheal Intubation,CLINICAL CIRCULATION,6.0,7.0,4.0,10.0,20.0,23.0,15.0
Evaluation of an Anesthetic Regimen for Testing Electrical Activation of the Carotid Baroreflex,CLINICAL CIRCULATION,6.0,7.0,4.0,2.0,20.0,23.0,15.0
Equation for Determination of Blood Volume by Means of Body Mass Index,CLINICAL CIRCULATION,12.0,4.0,18.0,19.0,24.0,6.0,31.0
Predicting Intraoperative Transfusion Requirements during Orthotopic Liver Transplantation Using Pre,CLINICAL CIRCULATION,17.0,23.0,10.0,9.0,25.0,25.0,12.0
The Effect of Continuous Intravenous Opioid Administration on Tissue Oxygen Tension in Morbidly Obes,CLINICAL CIRCULATION,6.0,4.0,18.0,10.0,20.0,6.0,15.0
A Comparison of Hemodynamic Responses to Tracheal Intubation with Three Different Intubating Devices,CLINICAL CIRCULATION,6.0,7.0,18.0,10.0,20.0,23.0,15.0
Effect of Prostaglandin E1; Dopamine and Dobutamine Administration for a Hepatic Venous Oxygen Satur,CLINICAL CIRCULATION,12.0,4.0,16.0,22.0,24.0,6.0,31.0
Decreased Subcutaneous Tissue Oxygen Pressure in Lean and Obese Patients – Is Anesthesia the Cause?,CLINICAL CIRCULATION,12.0,4.0,18.0,19.0,20.0,6.0,32.0
Feasibility and Clinical Utility of a New Autotransfusion System in Cardiac Surgery: A Prospective R,CLINICAL CIRCULATION,15.0,0.0,7.0,9.0,25.0,26.0,27.0
Perioperative Midregional Pro-ANP Concentrations and Long-Term Survival Following Cardiopulmonary By,CLINICAL CIRCULATION,15.0,23.0,10.0,19.0,0.0,25.0,12.0
The Effects of Dexamethasone on Matrix Metalloproteinase 9 and Pulmonary Function in Open Cardiac Pr,CLINICAL CIRCULATION,15.0,2.0,18.0,1.0,0.0,6.0,11.0
The Effects of Cardiopulmonary Bypass on Matrix Metalloproteinase 9 Gene Expression and Plasma Conce,CLINICAL CIRCULATION,15.0,2.0,18.0,1.0,0.0,6.0,11.0
Pulsatile vs. Nonpulsatile CPB in Cardiac Surgery: Effect on the Inflammatory Response,CLINICAL CIRCULATION,15.0,23.0,10.0,1.0,0.0,25.0,27.0
Successful Management of Life-Threatening Hypoxemia with Inhaled Prostacyclin in an Adult with Cyano,CLINICAL CIRCULATION,17.0,4.0,18.0,19.0,24.0,6.0,31.0
Circulatory Effects of the Full Flexion of the Hip Joints and Knees in the Supine Position,CLINICAL CIRCULATION,12.0,16.0,16.0,22.0,24.0,6.0,31.0
Does Aprotinin Block Activated Protein C Mediated Anticoagulation?,CLINICAL CIRCULATION,15.0,0.0,7.0,9.0,13.0,6.0,23.0
Monitoring ACT for Heparin and Aprotinin Application: Evaluation of a New Aprotinin-Insensitive ACT ,CLINICAL CIRCULATION,15.0,0.0,7.0,9.0,13.0,6.0,23.0
Lactate Levels in the Reperfusion Phase Correlate with Outcome and Graft Function in Patients Underg,CLINICAL CIRCULATION,15.0,23.0,10.0,8.0,25.0,25.0,12.0
Near Patient Assessment of Platelet Function in Patients on Aspirin and Clopidogrel Using PFA-100TM ,CLINICAL CIRCULATION,15.0,0.0,7.0,9.0,13.0,6.0,23.0
Comparison of TEG and RoTEM Thromboelastography in Cardiac Surgical Patients,CLINICAL CIRCULATION,15.0,4.0,7.0,19.0,13.0,6.0,31.0
A Comparison of Two Heparin Management Devices for Cardiopulmonary Bypass,CLINICAL CIRCULATION,15.0,0.0,7.0,9.0,13.0,6.0,23.0
Monitoring of the Reversing Effect of Desmopressin on Cyclooxygenase-I-Induced Platelet Inhibition,CLINICAL CIRCULATION,15.0,0.0,7.0,9.0,13.0,6.0,23.0
Effect of Temperature during Blood Storage and Analysis of Platelet Aggregation,CLINICAL CIRCULATION,15.0,0.0,7.0,9.0,13.0,6.0,23.0
Impact of Sonoclot Hemostasis Analysis after Cardiopulmonary Bypass on Postoperative Hemorrhage in C,CLINICAL CIRCULATION,15.0,0.0,7.0,9.0,13.0,26.0,23.0
Intraoperative Monitoring of Peripheral Oxygen Balance Using Near-Infrared Spectroscopy during Fonta,CLINICAL CIRCULATION,12.0,16.0,16.0,22.0,24.0,6.0,31.0
Fatal Hyperfibrinolysis during Orthotopic Liver Transplantation with Solvent-Detergent Treated Plasm,CLINICAL CIRCULATION,15.0,4.0,18.0,19.0,13.0,6.0,31.0
Myocardial Performance Index (MPI): A Simple; Non-Invasive Method of Asssessment of Perioperative Gl,CLINICAL CIRCULATION,17.0,16.0,16.0,8.0,24.0,6.0,31.0
Pre and Post Bypass Inferior Vena Cava (IVC) Diameter and Central Venous Pressure (CVP) Correlation ,CLINICAL CIRCULATION,12.0,16.0,16.0,22.0,24.0,6.0,31.0
MDCT Angiography Reveals No Evidence of the Pulmonary Embolism in the Cemented THA Patients with Int,CLINICAL CIRCULATION,17.0,4.0,18.0,19.0,24.0,6.0,31.0
Determination of Coronary Arterial Flow Change at Reperfusion in Orthotopic Liver Transplantation: N,CLINICAL CIRCULATION,12.0,16.0,16.0,22.0,24.0,6.0,31.0
Why Are RAA Thrombi Uncommon in Atrial Fibrillation?,CLINICAL CIRCULATION,12.0,16.0,16.0,22.0,24.0,6.0,31.0
New Onset Dynamic Left Ventricular Outflow Tract Obstruction during Orthotopic Liver Transplantation,CLINICAL CIRCULATION,17.0,16.0,16.0,22.0,24.0,6.0,31.0
The Effect of Preload Changes on Global Strain and Global Strain Rate in Patients Immediately before,CLINICAL CIRCULATION,12.0,16.0,16.0,22.0,24.0,6.0,31.0
Effect of CABG on Diastolic Dysfunction in Patients with Acute Coronary Syndrome,CLINICAL CIRCULATION,17.0,23.0,10.0,8.0,2.0,25.0,12.0
Right Atrial Appendage Anatomy and Function. Assessment by Transesophageal Echocardiography,CLINICAL CIRCULATION,12.0,16.0,16.0,22.0,24.0,6.0,31.0
Intraoperative Transesophageal Echocardiography: Impact on Hemodynamic Management during Abdominal S,CLINICAL CIRCULATION,17.0,16.0,10.0,8.0,24.0,25.0,31.0
Alternate Transesophageal Echo View To Facilitate Coronary Sinus Catheter Placement,CLINICAL CIRCULATION,12.0,16.0,16.0,22.0,24.0,6.0,31.0
Preoperative Oral Carbohydrate Administration Reduces Intraoperative Inotropic Support in Elective C,CLINICAL CIRCULATION,3.0,20.0,19.0,27.0,30.0,6.0,10.0
Morbidity and Mortality in Patients with Coronary Artery Disease Undergoing Liver Transplantation,CLINICAL CIRCULATION,17.0,23.0,10.0,8.0,2.0,25.0,12.0
Abnormal Rise in Plasma Creatinine Is Not Associated with Administration of High Dose Aprotinin in P,CLINICAL CIRCULATION,17.0,23.0,10.0,8.0,2.0,25.0,12.0
Gender Differences in Resource Utilization in Patients Undergoing Mitral Valve Surgery,CLINICAL CIRCULATION,17.0,23.0,10.0,8.0,2.0,25.0,12.0
ASA/AHA Cardiac Risk Score and Morbidity in Orthopedic Patients,CLINICAL CIRCULATION,17.0,23.0,10.0,8.0,2.0,25.0,12.0
Intra-Operative Hypotension and One-Year Mortality,CLINICAL CIRCULATION,17.0,23.0,10.0,8.0,2.0,25.0,12.0
Associations of Very Early Extubation after Cardiac Surgery with Re-Intubation; Atrial Fibrillation;,CLINICAL CIRCULATION,17.0,23.0,10.0,8.0,2.0,25.0,12.0
Renal Effects of Dexmedetomidine in Patients with Impaired Renal Function Undergoing CABG Surgery,CLINICAL CIRCULATION,15.0,23.0,18.0,9.0,20.0,24.0,15.0
'P' Wave Duration as Measured by Serial Intraoperative EKGs Is Predictive of Postoperative Supra Ven,CLINICAL CIRCULATION,17.0,23.0,10.0,8.0,2.0,25.0,12.0
GPIa/GPIIa Gene Polymorphism and Bleeding after Cardiac Surgery,CLINICAL CIRCULATION,17.0,23.0,18.0,19.0,2.0,6.0,12.0
Immediate Extubation after Cardiac Surgery as Routine,CLINICAL CIRCULATION,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Evaluation of Central Venous Oxygen Saturation (ScvO2) as a New Transfusion Trigger during Trauma Su,CLINICAL CIRCULATION,12.0,4.0,16.0,22.0,24.0,6.0,31.0
Urine Output after Cardiopulmonary Bypass Can Be Useful Parameter To Predict Postoperative Renal Dys,CLINICAL CIRCULATION,17.0,23.0,10.0,8.0,0.0,25.0,12.0
Preoperative High Sensitivity-C Reactive Protein and Cardiac Risk Scoring Systems,CLINICAL CIRCULATION,17.0,23.0,10.0,8.0,2.0,25.0,12.0
Changes in Red Blood Cell Transfusion Practice during the Past Two Decades: A Retrospective Analysis,CLINICAL CIRCULATION,17.0,23.0,10.0,9.0,25.0,25.0,12.0
Does Aprotinin Improve Perioperative Outcome after Elective Aortic Arch Surgery Requiring Deep Hypot,CLINICAL CIRCULATION,15.0,23.0,10.0,9.0,2.0,25.0,12.0
Outcome Analysis after Thoracoabdominal and Descending Aneurysm Repair,CLINICAL CIRCULATION,17.0,23.0,10.0,8.0,2.0,25.0,12.0
An Outcomes Analysis of Dexmedetomidine Use for Cardiovascular Procedures,CLINICAL CIRCULATION,17.0,23.0,10.0,19.0,2.0,25.0,31.0
The Serum Osmolality Gap after Cardiovascular Surgery in Patients with and without Chronic Renal Fai,CLINICAL CIRCULATION,17.0,23.0,18.0,8.0,0.0,6.0,12.0
Does Perioperative Transfusion Affect the Incidence of Atrial Fibrillation Post-CABG?,CLINICAL CIRCULATION,17.0,23.0,10.0,8.0,2.0,25.0,12.0
Regulation of Heart MiRP1 Gene Activity by Estrogen,CLINICAL CIRCULATION,10.0,17.0,17.0,19.0,24.0,15.0,11.0
Propofol Evokes Endothelium-Independent Relaxation in Rabbit Thoracic Aorta Strips: Role of K+ Chann,CLINICAL CIRCULATION,10.0,17.0,18.0,19.0,24.0,12.0,31.0
A Comparison of Landiolol and Esmolol for Attenuation of Cardiovascular Response and Plasma Renin Ac,CLINICAL CIRCULATION,6.0,4.0,18.0,10.0,24.0,23.0,15.0
Comparison of Rocuronium Pharmacodynamics during Hypothermic Cardiopulmonary Bypass between Membrane,CLINICAL CIRCULATION,6.0,7.0,18.0,10.0,17.0,2.0,19.0
Function of β-Cells from Transplanted Pancreas during Simultaneous Pancreas-Kidney Transplantation,CLINICAL CIRCULATION,15.0,12.0,9.0,11.0,23.0,16.0,36.0
Tourniquet Application on the Upper Arm Affects the LITA-LAD Flow in CABG Patients,CLINICAL CIRCULATION,12.0,16.0,16.0,22.0,24.0,6.0,31.0
Human Atrial Natriuretic Peptide Prevents an Increase in Plumonary Artery Pressure Induced by Aortic,CLINICAL CIRCULATION,12.0,16.0,18.0,10.0,24.0,6.0,31.0
Metabolic Changes Following Standardized Handgrip Exercise Correlate with Global Anaerobic Threshold,CLINICAL CIRCULATION,12.0,4.0,5.0,19.0,24.0,6.0,31.0
Hemodynamic Changes Induced by Passive Leg Raising and Gynecologic Laparoscopy,CLINICAL CIRCULATION,6.0,16.0,16.0,22.0,24.0,6.0,31.0
Enhanced Clearance of Fentanyl in Patients with Major Burns,CLINICAL CIRCULATION,6.0,4.0,18.0,19.0,20.0,9.0,14.0
Thrombin Induces Marked Contraction by Activating Proteinase-Activated Receptor 1 and Potentiating M,CLINICAL CIRCULATION,10.0,17.0,18.0,19.0,24.0,12.0,31.0
Confirmation of Acetylcholine Nicotinic Receptor α-7 Subunit on the Human Basophil and Mast Cell Lin,CLINICAL CIRCULATION,10.0,17.0,18.0,19.0,24.0,6.0,11.0
Perioperative Serum Vasopressin Concentrations in Elective Thoracoabdominal Aortic Aneurysm Repair,CLINICAL CIRCULATION,17.0,4.0,18.0,19.0,24.0,6.0,31.0
Lactate and Glycemic Course during SIRS Induced by Heated Intraoperative Intraperitoneal Chemotherap,CLINICAL CIRCULATION,0.0,4.0,9.0,22.0,24.0,6.0,31.0
Effect of Urapidil on L-Type Calcium Current in Rat Ventricular Myocytes,CLINICAL CIRCULATION,10.0,17.0,17.0,15.0,27.0,15.0,7.0
Presence of Concentric Left Ventricular Remodeling and Concentric Left Ventricular Hypertrophy Are A,CLINICAL CIRCULATION,17.0,16.0,16.0,22.0,24.0,6.0,31.0
Levels of Carboxyhemoglobin in Banked Blood,CLINICAL CIRCULATION,17.0,4.0,7.0,19.0,25.0,26.0,31.0
Methylprednisolone and Off-Pump CABG,CLINICAL CIRCULATION,3.0,20.0,18.0,27.0,24.0,6.0,31.0
Effect of Chest Opening on Systolic Pressure Variation,CLINICAL CIRCULATION,12.0,16.0,16.0,22.0,24.0,6.0,31.0
Hyperkalemia and Massive Blood Transfusion in Adult Liver Transplantation,CLINICAL CIRCULATION,15.0,12.0,10.0,9.0,25.0,26.0,16.0
Subcutaneous Oxygen Tension during Open and Laparoscopic Colorectal Surgery,CLINICAL CIRCULATION,12.0,4.0,18.0,4.0,24.0,6.0,22.0
Nesiritide for Renal Protection during Cardiac Surgery,CLINICAL CIRCULATION,17.0,23.0,10.0,8.0,2.0,25.0,12.0
The Use of Autologous Blood Donation for Live-Donor Right Hepatectomy,CLINICAL CIRCULATION,17.0,4.0,7.0,9.0,25.0,26.0,16.0
Treatment of Post Operative Anemia: Intravenous Iron Compared to Intravenous Iron and Erythropoietin,CLINICAL CIRCULATION,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Heart Rate Variability Can Detect the Sympathetic Inhibition Produced by High Levels of Circulating ,CLINICAL CIRCULATION,6.0,4.0,18.0,19.0,24.0,6.0,31.0
Effect of Low Dose Norepinephrine in Volume Redistribution and Systemic Hemodynamics in Patients wit,CLINICAL CIRCULATION,12.0,16.0,16.0,22.0,24.0,6.0,31.0
An Analysis of 71 Spine Cases with Ischemic Optic Neuropathy from the ASA Postoperative Visual Loss ,CLINICAL NEUROSCIENCES,17.0,4.0,18.0,19.0,2.0,25.0,31.0
High Dose Opioid Anesthesia Does Not Increase the Incidence of Post Operative Cognitive Deficit afte,CLINICAL NEUROSCIENCES,6.0,20.0,18.0,27.0,20.0,6.0,15.0
A Novel Approach To Assess Serial Perioperative Intraocular Retinal Artery Blood Flows and Volumes i,CLINICAL NEUROSCIENCES,12.0,4.0,16.0,19.0,24.0,6.0,31.0
Prognosis Following Severe Head Injury: Development and Validation of a Model for Prediction of Deat,CLINICAL NEUROSCIENCES,17.0,23.0,10.0,19.0,2.0,25.0,12.0
Association between Impaired Cerebral Autoregulation and Outcome in Severe Pediatric Traumatic Brain,CLINICAL NEUROSCIENCES,0.0,23.0,10.0,19.0,24.0,6.0,31.0
The Safety of Dexmedetomidine as a Primary Sedative for Awake Carotid Endarterectomy,CLINICAL NEUROSCIENCES,6.0,7.0,10.0,19.0,20.0,23.0,15.0
Severity of Mental Symptoms Due to Awareness,CLINICAL NEUROSCIENCES,17.0,4.0,18.0,19.0,2.0,6.0,31.0
Intraoperative Awareness in a Regional Medical System: A Review of Four Years Data,CLINICAL NEUROSCIENCES,5.0,4.0,18.0,19.0,2.0,6.0,31.0
Awareness Reports in a Large Randomized Controlled Trial of Patients at Increased Risk of Awareness,CLINICAL NEUROSCIENCES,17.0,7.0,4.0,2.0,2.0,25.0,15.0
Lack of Intra Patient Reproducibility in the Bispectral Index May Limit Its Reliability as a Monitor,CLINICAL NEUROSCIENCES,6.0,7.0,4.0,2.0,20.0,6.0,31.0
Remifentanil-Induced Brain Activation in Normal Volunteers. Genotype Effects,CLINICAL NEUROSCIENCES,0.0,4.0,18.0,19.0,24.0,6.0,31.0
Return of Cerebral Autoregulation during the First Week Following Severe Pediatric Traumatic Brain I,CLINICAL NEUROSCIENCES,0.0,4.0,18.0,19.0,24.0,6.0,31.0
Predicting Adverse Neurological Outcome before Cardiac Surgery Using Blood Biomarkers,CLINICAL NEUROSCIENCES,17.0,23.0,10.0,8.0,0.0,25.0,12.0
Using the CAS Cerebral Oximeter To Estimate Cerebral Venous Oxygen Saturation,CLINICAL NEUROSCIENCES,12.0,4.0,5.0,19.0,24.0,6.0,31.0
Autoregulation and CO2 Reactivity of Cerebral Blood Flow Is Preserved under Mild Hypothermia during ,CLINICAL NEUROSCIENCES,6.0,4.0,18.0,4.0,24.0,23.0,15.0
Ketamine and Neuroprotection: Haemodynamic and Metabolic Effects in Severe Traumatic Brain Injury,CLINICAL NEUROSCIENCES,0.0,14.0,18.0,19.0,24.0,6.0,31.0
Nitric Oxide Activity and Cerebral Blood Flow Effects of Sodium Nitroprusside and Sodium Nitrite,CLINICAL NEUROSCIENCES,0.0,4.0,18.0,19.0,24.0,6.0,31.0
Intraprocedure Hypothermic and Postprocedure Normothermic Temperature Management for Endovascular Tr,CLINICAL NEUROSCIENCES,2.0,24.0,15.0,4.0,3.0,33.0,22.0
The Radiographic Validity of Transcranial Doppler Cerebral Blood Flow Velocity Measurement,CLINICAL NEUROSCIENCES,0.0,4.0,16.0,19.0,24.0,6.0,31.0
Degree of Variation in Cerebral Tissue Oxyegnation Index (TOI) and Normalized Tissue Hemoglobin Inde,CLINICAL NEUROSCIENCES,12.0,4.0,5.0,19.0,24.0,6.0,31.0
A Comparison of Tissue Oxygen Index with Jugular Venous Bulb Oxygen Saturation during Hypercapnic Ch,CLINICAL NEUROSCIENCES,12.0,4.0,5.0,19.0,24.0,6.0,31.0
Predicted Propofol Concentrations and Bis in Patients with Brain Tumors,CLINICAL NEUROSCIENCES,6.0,7.0,4.0,2.0,20.0,23.0,15.0
The Effect of Desflurane and Propofol; at a BIS of 60; on the Somatosensory Evoked Potential,CLINICAL NEUROSCIENCES,6.0,7.0,4.0,2.0,20.0,23.0,15.0
Cerebral Spinal Fluid Changes in Patients with Complex Regional Pain Syndrome,CLINICAL NEUROSCIENCES,12.0,4.0,18.0,19.0,24.0,6.0,31.0
Predicting Alertness with EEG Processing in Patients Undergoing Deep Brain Stimulator Placement for ,CLINICAL NEUROSCIENCES,12.0,7.0,4.0,2.0,20.0,6.0,31.0
BIS and Cerebral Recovery after Deep Hypothermic Cardiac Arrest,CLINICAL NEUROSCIENCES,6.0,7.0,4.0,2.0,20.0,23.0,15.0
Changes in Heart Rate Variability during Endotracheal Intubation and Laryngeal Mask Insertion,CLINICAL NEUROSCIENCES,6.0,7.0,4.0,2.0,20.0,23.0,15.0
The Monotoring of Intra-Parenchymatous Cerebral Tissue Pressure of Oxygen (Ptio2) Complementary to I,CLINICAL NEUROSCIENCES,0.0,4.0,18.0,19.0,24.0,6.0,31.0
The Effects of Isoflurane; Sevoflurane; and Desflurane Anesthesia on Neurologic Outcome after Cardia,CLINICAL NEUROSCIENCES,15.0,23.0,18.0,19.0,20.0,23.0,15.0
Mechanistic Role of KATP Channels in Hypercapnic Acidosis Preconditioning of Hippocampal Brain Slice,CLINICAL NEUROSCIENCES,12.0,5.0,3.0,16.0,7.0,6.0,31.0
Intraarterial Nicardipine Is Superior to Verapamil in Reversing Endothelin-1 Induced Vasospasm,CLINICAL NEUROSCIENCES,0.0,4.0,18.0,19.0,24.0,6.0,31.0
Effects of Stellate Ganglion Block on Cerebral Hemodynamics,CLINICAL NEUROSCIENCES,0.0,4.0,18.0,19.0,24.0,6.0,31.0
Intraocular Pressure during Prone Position Surgery: Effects of Time and Head Elevation,CLINICAL NEUROSCIENCES,12.0,4.0,18.0,4.0,3.0,6.0,31.0
Senescence and Cerebral Oxygenation with Acute Isovolemic Anemia,CLINICAL NEUROSCIENCES,17.0,4.0,10.0,19.0,24.0,6.0,31.0
Comparison of TCD to NIRS in Determination of Cerebral Hemodynamics during Resuscitation in a Model ,CLINICAL NEUROSCIENCES,0.0,4.0,16.0,19.0,24.0,6.0,31.0
Noninvasive Assessment of Intracranial Temperature Via the Medial Canthal-Brain Temperature Tunnel,CLINICAL NEUROSCIENCES,2.0,24.0,15.0,19.0,3.0,33.0,31.0
Effect of Spinal vs. Hemorrhagic Hypotension on Cerebral Blood Flow and Microcirculation in Rats,CLINICAL NEUROSCIENCES,0.0,4.0,18.0,19.0,24.0,6.0,31.0
Cerebral Blood Flow Affects Dose Requirements of Intracarotid Drugs,CLINICAL NEUROSCIENCES,0.0,4.0,18.0,19.0,24.0,6.0,31.0
Effects of Nimodipine on Cerebral Metabolism during Cardiopulmonary Bypass,CLINICAL NEUROSCIENCES,0.0,4.0,18.0,11.0,24.0,6.0,31.0
Is TIVA Really Necessary during Monitoring of Motor Evoked Potentials?,CLINICAL NEUROSCIENCES,6.0,7.0,4.0,2.0,20.0,23.0,15.0
Effects of Xenon on Myogenic Motor Evoked Potentials in Rabbits: A Comparison with Propofol and Isof,CLINICAL NEUROSCIENCES,6.0,7.0,4.0,10.0,20.0,23.0,15.0
The Delirium after General Anesthesia Was Analyzed with Three-Dimensional AIM (Activation; Input Sou,CLINICAL NEUROSCIENCES,6.0,7.0,4.0,2.0,20.0,23.0,15.0
EMG; BIS; and AAI Responses to Noxious Stimulation at Different Degrees of Neuromuscular Blockade du,CLINICAL NEUROSCIENCES,6.0,7.0,4.0,2.0,20.0,2.0,15.0
Influence of Neuromuscular Blockade on Clinical and Entropy Response to Induction and Intubation,CLINICAL NEUROSCIENCES,6.0,7.0,4.0,2.0,20.0,23.0,15.0
No Evidence To Identify Nociceptive Information in Early Components of SSEP under Remifentanil and P,CLINICAL NEUROSCIENCES,6.0,7.0,4.0,2.0,20.0,23.0,15.0
Quality of Recovery after AEP-Guided Anesthesia. Results of a Randomized Trial,CLINICAL NEUROSCIENCES,6.0,7.0,4.0,2.0,20.0,23.0,15.0
Spectral Entropy of EEG for Monitoring Clinical Response to Tracheal Intubation,CLINICAL NEUROSCIENCES,6.0,7.0,4.0,2.0,20.0,23.0,15.0
Detrended Fluctuation Analysis of the EEG for Assessing Depth of Anesthesia,CLINICAL NEUROSCIENCES,6.0,7.0,4.0,2.0,20.0,7.0,31.0
Theophylline Increases Bispectral Index (BIS) Score during General Anesthesia,CLINICAL NEUROSCIENCES,6.0,7.0,4.0,2.0,20.0,23.0,15.0
EEG Versus Non-EEG Controlled Anesthesia: Does It Make a Difference?,CLINICAL NEUROSCIENCES,6.0,7.0,4.0,2.0,20.0,23.0,15.0
Improvement of the Robustness of EEG Spectral Parameters Against Signal Artifacts,CLINICAL NEUROSCIENCES,12.0,7.0,4.0,2.0,20.0,7.0,15.0
Facial Nerve EMG vs BIS To Predict Movement during Different Anesthetics,CLINICAL NEUROSCIENCES,6.0,7.0,4.0,2.0,20.0,23.0,15.0
Median Nerve Somatosensory Evoked Responses; Narcotrend and Bispectral Index during Transition fom C,CLINICAL NEUROSCIENCES,6.0,7.0,4.0,2.0,20.0,7.0,15.0
Effects of Remifentanil Dosage on Propofol Concentration (TCI); Dreaming; and Postoperative Demand o,CLINICAL NEUROSCIENCES,6.0,7.0,4.0,2.0,20.0,23.0,15.0
Effect of Ethnicity on the Minimal Alveolar Concentration of Sevoflurane,CLINICAL NEUROSCIENCES,6.0,7.0,4.0,2.0,20.0,23.0,15.0
Adequate Depth of Anesthesia Determined by Bispectral Index in Patients with Complete Spinal Cord In,CLINICAL NEUROSCIENCES,6.0,7.0,4.0,2.0,20.0,23.0,15.0
Monitoring Anesthetic Effects: Approximate Entropy and Weighted Spectral Median Frequency - A New EE,CLINICAL NEUROSCIENCES,12.0,7.0,4.0,2.0,20.0,7.0,15.0
Nitrous Oxide Suppresses the Bispectral Index Response to Tracheal Intubation during Sevoflurane Ane,CLINICAL NEUROSCIENCES,6.0,7.0,4.0,2.0,20.0,23.0,15.0
Narcotrend Monitoring for Adjustment of Light Anesthesia during Combined General Anesthesia with D,CLINICAL NEUROSCIENCES,6.0,7.0,4.0,2.0,20.0,23.0,15.0
Separation between Different Levels of Anesthesia by a Combination of EEG- and AEP-Parameters Based ,CLINICAL NEUROSCIENCES,6.0,7.0,4.0,2.0,20.0,7.0,15.0
Automated AEP Analysis Separates Different Levels of Anesthesia – A Volunteer Study,CLINICAL NEUROSCIENCES,6.0,7.0,4.0,2.0,20.0,7.0,15.0
Reduction of Anesthetic Drug Consumption Is Correlated with Mean Titrated Bispectral Index Values: A,CLINICAL NEUROSCIENCES,6.0,7.0,4.0,2.0,20.0,23.0,15.0
A Novel Index of Nociception Correlates with Remifentanil Concentration and Responds to Surgical Inc,CLINICAL NEUROSCIENCES,6.0,7.0,4.0,2.0,20.0,23.0,15.0
BIS-Monitoring as a Key Technique for Awareness Incidence Evaluation,CLINICAL NEUROSCIENCES,17.0,7.0,4.0,2.0,2.0,25.0,15.0
Bispectral Index Monitoring Studies: Are Reliable Data Being Collected?,CLINICAL NEUROSCIENCES,5.0,4.0,18.0,19.0,24.0,6.0,31.0
Pupillary Assessment with Non-Wearing Type of Pupillography; during Recovery Time Course after Anest,CLINICAL NEUROSCIENCES,6.0,7.0,4.0,2.0,20.0,23.0,31.0
Blinded BIS Monitoring during ERCP Shows Additional Sedatives Are Often Given When Patients Are Alre,CLINICAL NEUROSCIENCES,6.0,7.0,4.0,2.0,20.0,23.0,15.0
Cerebral State Index: Reliable Differentiation between Consciousness and Unconsciousness?,CLINICAL NEUROSCIENCES,6.0,7.0,4.0,2.0,20.0,7.0,15.0
Auditory Evoked Potentials during Burst Suppression EEG,CLINICAL NEUROSCIENCES,12.0,7.0,4.0,2.0,20.0,7.0,15.0
Intracerebral Hemorrhage Is Associated with Microalbuminuria; a Marker of Generalized Vascular Damag,CLINICAL NEUROSCIENCES,17.0,23.0,10.0,8.0,24.0,25.0,31.0
S-100 and NSE Changes after Cardiac Surgery: Multiple Genotype Effects,CLINICAL NEUROSCIENCES,17.0,4.0,18.0,19.0,24.0,6.0,31.0
Iso-Osmolar Solutions of Mannitol vs. Hypertonic Saline for Intraoperative Brain Relaxation,CLINICAL NEUROSCIENCES,12.0,4.0,18.0,22.0,24.0,6.0,31.0
Coronary Artery Surgery Should Be Managed To Reduce Microemboli and Neurological Dysfunction,CLINICAL NEUROSCIENCES,15.0,23.0,10.0,19.0,0.0,6.0,12.0
The Effects of Nefopam on the Gain and Maximum Intensity of Shivering in Healthy Volunteers,CLINICAL NEUROSCIENCES,6.0,24.0,15.0,4.0,3.0,33.0,22.0
Microalbuminuria Is a Prognostic Predictor in Aneurysmal Subarachnoid Hemorrhage,CLINICAL NEUROSCIENCES,17.0,23.0,10.0,19.0,2.0,25.0,12.0
Prophylactic Administration of High-Dose Landiolol Blunts Hyperdynamic Responses during Electroconvu,CLINICAL NEUROSCIENCES,6.0,4.0,18.0,10.0,24.0,6.0,15.0
Anesthetic Advantages for Minimally Invasive Versus Traditional Techniqes for Major Spinal Surgeries,CLINICAL NEUROSCIENCES,17.0,23.0,10.0,8.0,2.0,25.0,12.0
Intracranial Lesions Following Dural Puncture: A Reivew of Reported Cases,CLINICAL NEUROSCIENCES,17.0,4.0,18.0,19.0,2.0,25.0,31.0
Nausea and Vomiting after Craniotomy: An Evidence-Based Analysis of Antiemetic Prophylaxis in Neuroa,CLINICAL NEUROSCIENCES,3.0,20.0,19.0,27.0,30.0,19.0,10.0
